OBJETIVO ESTRATÉGICO,AÇÃO ESTRATÉGICA,COORDENAÇÃO,MMA,MF,CC,MCT,MAPA,MDIC,MF,FONTE DE RECURSO,PROGRAMA NO PPA 2004-2007,AÇÃO NA LOA 2007,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2008,AUTORIZADO,EMPENHADO,LIQUIDADO
"3.1 Aperfeiçoamento dos instrumentos de financiamento e crédito que utilizam recursos públicos, p/ promover atividades produtivas sustentáveis e desestimular desmatamento ilegal.",,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,PPG7,0135 - ASSENTAMENTOS SUSTENTÁVEIS PARA TRABALHADORES RURAIS,0062 - CONCESSÃO DE CRÉDITO-INSTALAÇÃO ÀS FAMÍLIAS ASSENTADAS - IMPLANTAÇÃO,"R$ 763,115,000.00","R$ 760,707,457.00","R$ 760,707,457.00",0137 - DESENVOLVIMENTO SUSTENTÁVEL DE PROJETOS DE ASSENTAMENTO,0427 - CONCESSÃO DE CRÉDITO-INSTALAÇÃO ÀS FAMÍLIAS ASSENTADAS,"R$ 1,434,938,000.00","R$ 1,309,114,896.00","R$ 1,309,114,896.00"
3.2 Ampliar a abrangência do Protocolo Verde no Sistema Financeiro Nacional,,"MMA, MF",1,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6,"PPG-7 (componente Estudos Estratégicos), atividades 6.1 e 6.3.",,,,,,,,,,
"3.3 Desenvolvimento e Implementação de programa de capacitação, formação e divulgação do Manejo Florestal Sustentável",,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,ProManejo/PPG7,0502 - AMAZÔNIA SUSTENTÁVEL,6064 - FOMENTO AO MANEJO FLORESTAL NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 1,008,524.00","R$ 678,174.00","R$ 678,174.00",0506 - NACIONAL DE FLORESTAS,6064 - FOMENTO AO MANEJO FLORESTAL NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 1,630,637.00","R$ 400,000.00","R$ 400,000.00"
"3.3 Desenvolvimento e Implementação de programa de capacitação, formação e divulgação do Manejo Florestal Sustentável",,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,0506 - NACIONAL DE FLORESTAS,6735 - FORMULAÇÃO E DIFUSÃO DE PROCEDIMENTOS DE MANEJO FLORESTAL,"R$ 5,634,520.00","R$ 3,366,100.00","R$ 3,366,100.00",0506 - NACIONAL DE FLORESTAS,8300 - APOIO AO MANEJO FLORESTAL COMUNITÁRIO,"R$ 2,341,000.00","R$ 993,381.00","R$ 993,381.00"
3.4 Implementação do Centro Nacional de Apoio ao Manejo Florestal- Cenaflor ,,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"MMA (Ação 18.128.0506.4950.001-
Capacitação em Atividades Florestais) e PPG7 ",0506 - NACIONAL DE FLORESTAS,7598 - INSTALAÇÃO DE CENTROS DE CAPACITAÇÃO EM MANEJO FLORESTAL,"R$ 100,000.00","R$ 29,998.00","R$ 29,998.00",,,,,
3.5 Apoio às iniciativas promissoras de manejo florestal comunitário ,,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,ProManejo/PPG7,"0508 - CONSERVACAO, USO SUSTENTAVEL E RECUPERACAO DA BIODIVERSIDADE",0A31 - APOIO À IMPLANTAÇÃO DE SISTEMAS COMUNITÁRIOS DE CONSERVAÇÃO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE,"R$ 2,551,597.00","R$ 1,811,542.00","R$ 1,811,542.00","1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE",8266 - IMPLANTAÇÃO DE SISTEMAS COMUNITÁRIOS DE CONSERVAÇÃO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE,"R$ 2,406,272.00","R$ 692,366.00","R$ 692,366.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA ,"0151 - PROTECAO DE TERRAS INDIGENAS, GESTAO TERRITORIAL E ETNODESENVOLVIMENTO",6063 - FOMENTO A PROJETOS DE GESTÃO AMBIENTAL DOS POVOS INDÍGENAS DA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 3,254,821.00","R$ 591,041.00","R$ 591,041.00",0150 - PROTEÇÃO E PROMOÇÃO DOS POVOS INDÍGENAS,6063 - FOMENTO A PROJETOS DE GESTÃO AMBIENTAL DOS POVOS INDÍGENAS DA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 8,083,899.00","R$ 469,721.00","R$ 469,721.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,8671 - FOMENTO À GESTÃO AMBIENTAL EM TERRAS INDÍGENAS,"R$ 1,151,714.00","R$ 886,363.00","R$ 886,363.00",,8671 - FOMENTO À GESTÃO AMBIENTAL EM TERRAS INDÍGENAS,"R$ 1,121,446.00","R$ 1,011,588.00","R$ 1,011,588.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6063 - FOMENTO A PROJETOS DE GESTÃO AMBIENTAL DOS POVOS INDÍGENAS DA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 3,254,821.00","R$ 591,041.00","R$ 591,041.00",,6698 - GESTÃO AMBIENTAL E TERRITORIAL DAS TERRAS INDÍGENAS,"R$ 19,841,604.00","R$ 11,507,235.00","R$ 11,507,235.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,2566 - CONSERVAÇÃO E RECUPERAÇÃO DA BIODIVERSIDADE EM TERRAS INDÍGENAS,"R$ 1,145,000.00","R$ 713,923.00","R$ 713,923.00",0150 - PROTEÇÃO E PROMOÇÃO DOS POVOS INDÍGENAS,2566 - CONSERVAÇÃO E RECUPERAÇÃO DA BIODIVERSIDADE EM TERRAS INDÍGENAS,"R$ 97,989.00",R$ 0.00,R$ 0.00
