Objetivo Estratégico,Ação Estratégica,COORDENAÇÃO,MCT,CC,MMA,MTE,FONTE DE RECURSO,PROGRAMA NO PPA 2004-2007,AÇÃO NA LOA 2007,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2008,AUTORIZADO,EMPENHADO,LIQUIDADO
2.1 Aprimoramento dos sistemas de monitoramento do desmatamento ,2.1.1 Sistema de Detecção do Desmatamento em Tempo Real,"MCT, CC, MMA",1,6,10,#VALUE!,Programa PPA 0503 (Ação 3029),"0503 - PREVENCAO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCENDIOS FLORESTAIS - FLORESCER",2063 - MONITORAMENTO DE QUEIMADAS E PREVENÇÃO DE INCÊNDIOS FLORESTAIS ,"R$ 1,200,000.00","R$ 1,199,930.00","R$ 1,196,556.00","0503 - PREVENCAO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCENDIOS FLORESTAIS - FLORESCER",2063 - MONITORAMENTO DE QUEIMADAS E PREVENÇÃO DE INCÊNDIOS FLORESTAIS,"R$ 1,200,000.00","R$ 1,199,664.00","R$ 1,199,664.00"
2.1 Aprimoramento dos sistemas de monitoramento do desmatamento ,2.1.2 Sistema Integrado de Alerta do Desmatamento – SIAD,"MCT, CC, MMA",1,6,10,#VALUE!,Programa de Proteção da Amazônia/Integração de Base de Dados.,0496 - INFORMACOES INTEGRADAS PARA PROTECAO DA AMAZONIA,4322 - MANUTENÇÃO DO SISTEMA DE VIGILÂNCIA DA AMAZÔNIA - SIVAM,"R$ 2,000,000.00","R$ 1,999,826.00","R$ 1,999,826.00",0496 - INFORMACOES INTEGRADAS PARA PROTECAO DA AMAZONIA,4322 - MANUTENÇÃO DO SISTEMA DE VIGILÂNCIA DA AMAZÔNIA - SIVAM,"R$ 10,000,000.00","R$ 1,999,944.00","R$ 1,999,944.00"
2.1 Aprimoramento dos sistemas de monitoramento do desmatamento ,"2.1.3 Implantação de sistemas de aquisição, geração e distribuição de produtos MODIS e WFI","MCT, CC, MMA",1,6,10,#VALUE!,PNAE (Ação 4195),0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE,4195 - RECEPÇÃO DE IMAGENS E GERAÇÃO DE PRODUTOS DE SATÉLITES,"R$ 4,800,000.00","R$ 4,443,287.00","R$ 4,443,287.00",0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE,"4195 - CONTROLE DE SATÉLITES, RECEPÇÃO, GERAÇÃO, ARMAZENAMENTO E DISTRIBUIÇÃO DE DADOS","R$ 6,772,500.00","R$ 6,755,533.00","R$ 6,755,533.00"
2.1 Aprimoramento dos sistemas de monitoramento do desmatamento ,2.1.4 Aquisição e tratamento de imagens de radar para reconhecimento e detalhamento de áreas críticas,"MCT, CC, MMA",1,6,10,#VALUE!,Programa de Proteção da Amazônia/Integração de Base de Dados.,0496 - INFORMACOES INTEGRADAS PARA PROTECAO DA AMAZONIA,7491 - INTEGRAÇÃO DA BASE DE DADOS E INFORMAÇÕES DO SIPAM,"R$ 4,104,000.00",R$ 0.00,R$ 0.00,0496 - INFORMACOES INTEGRADAS PARA PROTECAO DA AMAZONIA,8110 - SENSORIAMENTO REMOTO,"R$ 3,226,300.00","R$ 2,799,730.00","R$ 2,799,730.00"
2.1 Aprimoramento dos sistemas de monitoramento do desmatamento ,2.1.5 Realização de sobrevôos de reconhecimento de áreas críticas,"MCT, CC, MMA",1,6,10,#VALUE!,Programa de Proteção da Amazônia/Integração de Base de Dados.,0496 - INFORMACOES INTEGRADAS PARA PROTECAO DA AMAZONIA,6323 - SISTEMA DE INFORMAÇÕES PARA PROTEÇÃO DA AMAZÔNIA - SIPAM,"R$ 34,116,000.00","R$ 16,555,933.00","R$ 16,391,861.00",0496 - INFORMACOES INTEGRADAS PARA PROTECAO DA AMAZONIA,114H - IMPLANTAÇÃO DO SISTEMA DE CARTOGRAFIA DA AMAZÔNIA,"R$ 70,000,616.00","R$ 70,001,212.00","R$ 70,001,212.00"
2.1 Aprimoramento dos sistemas de monitoramento do desmatamento ,2.1.6 Estruturação de bases de dados georeferenciadas,"MCT, CC, MMA",1,6,10,#VALUE!,,,,,,,,"20AY - EVOLUÇÃO DOS SISTEMAS DE TELECOMUNICAÇÕES, TECNOLOGIA DA INFORMAÇÃO E BASE DE DADOS","R$ 13,958,173.00","R$ 13,686,716.00","R$ 13,686,716.00"
2.1 Aprimoramento dos sistemas de monitoramento do desmatamento ,2.1.7 Definição de áreas prioritárias de vigilância e intervenção,"MCT, CC, MMA",1,6,10,#VALUE!,,,,,,,,6808 - MONITORAMENTO TERRITORIAL E AÇÕES DE INTELIGÊNCIA,"R$ 5,744,756.00","R$ 5,577,251.00","R$ 5,577,251.00"
2.1 Aprimoramento dos sistemas de monitoramento do desmatamento ,2.1.8 Intensificação da produção de mapas-guia de áreas desmatadas,"MCT, CC, MMA",1,6,10,#VALUE!,PPA - Programa 0503,"0503 - PREVENCAO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCENDIOS FLORESTAIS - FLORESCER",6307 - FISCALIZAÇÃO DE ATIVIDADES DE DESMATAMENTO ,"R$ 24,177,760.00","R$ 23,857,365.00","R$ 23,831,872.00","0503 - PREVENCAO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCENDIOS FLORESTAIS - FLORESCER",6307 - FISCALIZAÇÃO DE ATIVIDADES DE DESMATAMENTO ,"R$ 31,187,218.00","R$ 28,287,938.00","R$ 28,287,938.00"
2.1 Aprimoramento dos sistemas de monitoramento do desmatamento ,2.1.9 Intensificação da produção de autos de infração,"MCT, CC, MMA",1,6,10,#VALUE!,PPA - Programa 0503,"0503 - PREVENCAO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCENDIOS FLORESTAIS - FLORESCER",6329 - CONTROLE DE DESMATAMENTOS E INCÊNDIOS FLORESTAIS ,"R$ 20,059,981.00","R$ 19,965,028.00","R$ 19,953,995.00",,6329 - CONTROLE DE DESMATAMENTOS E INCÊNDIOS FLORESTAIS,"R$ 36,453,000.00","R$ 22,177,567.00","R$ 22,177,567.00"
2.1 Aprimoramento dos sistemas de monitoramento do desmatamento ,2.1.10 Desenvolvimento de protótipo do módulo de geoprocessamento do SIFISC/SICAF,"MCT, CC, MMA",1,6,10,#VALUE!,PPA: Programa 0511 (Ação 6037),0511 - GESTÃO DA POLÍTICA DE MEIO AMBIENTE,6037 - FORTALECIMENTO E APRIMORAMENTO DA FISCALIZAÇÃO AMBIENTAL,"R$ 4,081,000.00","R$ 3,809,836.00","R$ 3,809,836.00",0511 - GESTÃO DA POLÍTICA DE MEIO AMBIENTE,6037 - FORTALECIMENTO E APRIMORAMENTO DA FISCALIZAÇÃO AMBIENTAL,"R$ 5,545,413.00","R$ 4,811,373.00","R$ 4,811,373.00"
