Tipo,Objetivo Estratégico,AÇÕES ESTRATÉGICAS,Sub-atividade,RESPONSÁVEL,FUNAI,ICMBio,INCRA,INMETRO,MAPA,MCT,MDA,MDIC,MF,MMA,OEMAs,SFB,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2009,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2010,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2011,AUTORIZADO,EMPENHADO,LIQUIDADO
Ação Estratégica,3.1 - Gestão de Florestas Públicas,3.1.1 Apoio à Projetos de Agregação de Valor aos Produtos Florestais,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,3.1 - Gestão de Florestas Públicas,3.1.2 Apoio ao planejamento de assentamentos rurais,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,8298 - APOIO A PROJETOS DE DESENVOLVIMENTO FLORESTAL SUSTENTÁVEL,"R$ 2,800,000.00","R$ 100,000.00","R$ 100,000.00",,8298 - APOIO A PROJETOS DE DESENVOLVIMENTO FLORESTAL SUSTENTÁVEL,"R$ 2,450,000.00","R$ 954,549.00","R$ 954,549.00",,8298 - APOIO A PROJETOS DE DESENVOLVIMENTO FLORESTAL SUSTENTÁVEL,"R$ 2,050,000.00","R$ 1,265,136.00","R$ 1,265,136.00"
Ação Estratégica,3.1 - Gestão de Florestas Públicas,3.1.3 Apoio ao desenvolvimento de planos de manejo florestal comunitário,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,8300 - APOIO AO MANEJO FLORESTAL COMUNITÁRIO,"R$ 2,968,060.00","R$ 944,400.00","R$ 944,400.00",,8300 - APOIO AO MANEJO FLORESTAL COMUNITÁRIO,"R$ 2,435,992.00","R$ 1,921,250.00","R$ 1,921,250.00",,8300 - APOIO AO MANEJO FLORESTAL COMUNITÁRIO,"R$ 5,315,051.00","R$ 2,287,536.00","R$ 2,287,536.00"
Ação Estratégica,3.1 - Gestão de Florestas Públicas,3.1.4 Capacitação em manejo florestal,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0506 - NACIONAL DE FLORESTAS,4950 - CAPACITAÇÃO EM ATIVIDADES FLORESTAIS,"R$ 1,800,000.00","R$ 760,131.00","R$ 760,131.00",0506 - NACIONAL DE FLORESTAS,4950 - CAPACITAÇÃO EM ATIVIDADES FLORESTAIS,"R$ 550,000.00","R$ 329,953.00","R$ 329,953.00",0506 - NACIONAL DE FLORESTAS,4950 - CAPACITAÇÃO EM ATIVIDADES FLORESTAIS,"R$ 962,500.00","R$ 258,396.00","R$ 258,396.00"
Ação Estratégica,3.1 - Gestão de Florestas Públicas,3.1.5 Produção de materiais didáticos para a difusão do manejo florestal,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,4641 - PUBLICIDADE DE UTILIDADE PÚBLICA,"R$ 300,000.00",R$ 840.00,R$ 840.00,,4641 - PUBLICIDADE DE UTILIDADE PÚBLICA,"R$ 10,000.00",R$ 0.00,R$ 0.00,,4641 - PUBLICIDADE DE UTILIDADE PÚBLICA,"R$ 90,000.00",R$ 0.00,R$ 0.00
Ação Estratégica,3.1 - Gestão de Florestas Públicas,3.1.6 Destinação de Áreas de Floresta para Concessão Florestal,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,2D13 - CRIAÇÃO E IMPLEMENTAÇÃO DE DISTRITOS FLORESTAIS SUSTENTÁVEIS,"R$ 3,200,000.00","R$ 1,865,641.00","R$ 1,865,641.00",,2D13 - CRIAÇÃO E IMPLEMENTAÇÃO DE DISTRITOS FLORESTAIS SUSTENTÁVEIS,"R$ 1,700,000.00","R$ 964,388.00","R$ 964,388.00",,2D13 - CRIAÇÃO E IMPLEMENTAÇÃO DE DISTRITOS FLORESTAIS SUSTENTÁVEIS,"R$ 1,670,000.00","R$ 933,891.00","R$ 933,891.00"
Ação Estratégica,3.1 - Gestão de Florestas Públicas,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,8292 - EXPANSÃO DO USO SUSTENTÁVEL DOS RECURSOS FLORESTAIS,"R$ 1,422,433.00","R$ 479,615.00","R$ 479,615.00",,8292 - EXPANSÃO DO USO SUSTENTÁVEL DOS RECURSOS FLORESTAIS,"R$ 1,471,637.00",R$ 0.00,R$ 0.00,,8292 - EXPANSÃO DO USO SUSTENTÁVEL DOS RECURSOS FLORESTAIS,"R$ 900,000.00","R$ 150,000.00","R$ 150,000.00"
Ação Estratégica,3.1 - Gestão de Florestas Públicas,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,8290 - EXPANSÃO DA BASE FLORESTAL PLANTADA,"R$ 2,451,937.00","R$ 777,286.00","R$ 777,286.00",,8290 - EXPANSÃO DA BASE FLORESTAL PLANTADA,"R$ 1,332,819.00","R$ 541,651.00","R$ 541,651.00",,8290 - EXPANSÃO DA BASE FLORESTAL PLANTADA,"R$ 1,614,830.00","R$ 610,439.00","R$ 610,439.00"
Ação Estratégica,3.1 - Gestão de Florestas Públicas,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,6064 - FOMENTO AO MANEJO FLORESTAL NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 791,760.00",R$ 0.00,R$ 0.00,,6064 - FOMENTO AO MANEJO FLORESTAL NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 392,990.00",R$ 0.00,R$ 0.00,,6064 - FOMENTO AO MANEJO FLORESTAL NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 130,000.00",R$ 0.00,R$ 0.00
Ação Estratégica,"3.2 - Implementar Ações para uma Política Agrícola Sustentável para a Amazônia Legal, em Conjunto Com As Secretarias Estaduais de Agricultura",3.2.1 Elaborar e Implementar o Programa Executivo Interministerial de Recuperação de Áreas Degradadas na Amazônia,3.2.1.1 Elaborar e Implementar Programa Executivo Interministerial de Recuperação de Áreas Degradadas na Amazônia - PRADAM,MAPA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0506 - NACIONAL DE FLORESTAS,8288 - RECUPERAÇÃO DA COBERTURA VEGETAL DE ÁREAS DEGRADADAS,"R$ 2,561,509.00","R$ 1,432,135.00","R$ 1,432,135.00",0506 - NACIONAL DE FLORESTAS,8288 - RECUPERAÇÃO DA COBERTURA VEGETAL DE ÁREAS DEGRADADAS,"R$ 3,095,932.00","R$ 1,047,758.00","R$ 1,047,758.00",0506 - NACIONAL DE FLORESTAS,8288 - RECUPERAÇÃO DA COBERTURA VEGETAL DE ÁREAS DEGRADADAS,"R$ 679,533.00",R$ 0.00,R$ 0.00
