OBJETIVO ESTRATÉGICO,AÇÕES ESTRATÉGICAS,COORDENAÇÃO,FUNAI,INCRA,MC,MCT,MDA,MI,MJ,MMA,FONTE DE RECURSO,PROGRAMA NO PPA 2004-2007,AÇÃO NA LOA 2007,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2008,AUTORIZADO,EMPENHADO,LIQUIDADO
1.1 Ordenamento territorial do Arco do Desmatamento e BR 163,1.1.1 Zoneamento Ecológico Econômico no Arco do Desmatamento,"MMA, MI, MC",#VALUE!,#VALUE!,10,#VALUE!,#VALUE!,6,#VALUE!,1,"Programa ZEE (Ação 0512): MMA, MI, Agência de Desenvolvimento da Amazônia, CPRM – Serviço Geológico do Brasil",0512 - ZONEAMENTO ECOLOGICO-ECONOMICO ,0784 - APOIO À GESTÃO AMBIENTAL EM ÁREAS DE FRAGILIDADE FÍSICO-AMBIENTAL,"R$ 100,000.00",R$ 0.00,R$ 0.00,0512 - ZONEAMENTO ECOLOGICO-ECONOMICO ,8320 - APOIO À GESTÃO AMBIENTAL EM ÁREAS DE VULNERABILIDADE AMBIENTAL,"R$ 300,000.00",R$ 0.00,R$ 0.00
1.1 Ordenamento territorial do Arco do Desmatamento e BR 163,1.1.2 Zoneamento Ecológico Econômico na área de influência da BR 163,"MMA, MI, MC",#VALUE!,#VALUE!,10,#VALUE!,#VALUE!,6,#VALUE!,1,"Programa ZEE (Ação 0512): MMA, MI, Agência de Desenvolvimento da Amazônia, CPRM – Serviço Geológico do Brasil",0512 - ZONEAMENTO ECOLOGICO-ECONOMICO ,1J30 - ELABORAÇÃO DA BASE CARTOGRÁFICA DIGITAL DA AMAZÔNIA LEGAL,"R$ 8,369,563.00","R$ 44,427.00","R$ 44,427.00",0512 - ZONEAMENTO ECOLOGICO-ECONOMICO ,1J30 - ELABORAÇÃO DA BASE CARTOGRÁFICA DIGITAL DA AMAZÔNIA LEGAL,"R$ 10,800,000.00","R$ 6,783,551.00","R$ 6,783,551.00"
1.1 Ordenamento territorial do Arco do Desmatamento e BR 163,1.1.2 Zoneamento Ecológico Econômico na área de influência da BR 163,"MMA, MI, MC",#VALUE!,#VALUE!,10,#VALUE!,#VALUE!,6,#VALUE!,1,"Programa ZEE (Ação 0512): MMA, MI, Agência de Desenvolvimento da Amazônia, CPRM – Serviço Geológico do Brasil",,4879 - LEVANTAMENTO DE INFORMAÇÕES TÉCNICAS E ESTRATÉGICAS PARA O ZONEAMENTO ECOLÓGICO-ECONÔMICO,"R$ 60,300.00","R$ 59,150.00","R$ 59,150.00",,,,,
1.1 Ordenamento territorial do Arco do Desmatamento e BR 163,1.1.2 Zoneamento Ecológico Econômico na área de influência da BR 163,"MMA, MI, MC",#VALUE!,#VALUE!,10,#VALUE!,#VALUE!,6,#VALUE!,1,"Programa ZEE (Ação 0512): MMA, MI, Agência de Desenvolvimento da Amazônia, CPRM – Serviço Geológico do Brasil",,7965 - IMPLANTAÇÃO DO SISTEMA GERENCIADOR DE BANCO DE DADOS SOBRE ZONEAMENTO ECOLÓGICO-ECONÔMICO ,"R$ 237,446.00","R$ 172,280.00","R$ 172,280.00",,7965 - IMPLANTAÇÃO DO SISTEMA GERENCIADOR DE BANCO DE DADOS SOBRE ZONEAMENTO ECOLÓGICO-ECONÔMICO,"R$ 600,000.00","R$ 527,619.00","R$ 527,619.00"
1.1 Ordenamento territorial do Arco do Desmatamento e BR 163,1.1.3 Elaboração e implementação das Agenda 21 Local,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,FNMA,1102 - AGENDA 21,"4921 - ELABORAÇÃO E IMPLEMENTAÇÃO DAS
AGENDAS 21 LOCAIS","R$ 650,000.00","R$ 644,384.00","R$ 644,384.00",1102 - AGENDA 21,4921 - ELABORAÇÃO E IMPLEMENTAÇÃO DAS AGENDAS 21 LOCAIS,"R$ 605,000.00","R$ 430,000.00","R$ 430,000.00"
1.1 Ordenamento territorial do Arco do Desmatamento e BR 163,1.1.4 Elaboração e implementação das Agendas 21 Locais no municípios com altos índices de desmatamento e/ou baixo Índice de Desenvolvimento Humano (IDH) e/ou passivo ambiental significativo no Arco do Desmatamento,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,FNMA,1102 - AGENDA 21,4913 - FOMENTO A PROJETOS DE AGENDAS 21 LOCAIS,"R$ 1,764,718.00","R$ 968,683.00","R$ 968,683.00",1102 - AGENDA 21,4913 - FOMENTO A PROJETOS DE AGENDAS 21 LOCAIS,"R$ 2,418,087.00","R$ 1,728,174.00","R$ 1,728,174.00"
1.1 Ordenamento territorial do Arco do Desmatamento e BR 163,1.1.4 Elaboração e implementação das Agendas 21 Locais no municípios com altos índices de desmatamento e/ou baixo Índice de Desenvolvimento Humano (IDH) e/ou passivo ambiental significativo no Arco do Desmatamento,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,FNMA,1102 - AGENDA 21,4910 - FORMAÇÃO CONTINUADA EM AGENDA 21 LOCAL,"R$ 415,752.00","R$ 343,752.00","R$ 343,752.00",1102 - AGENDA 21,4910 - FORMAÇÃO CONTINUADA EM AGENDA 21 LOCAL,"R$ 467,560.00","R$ 247,391.00","R$ 247,391.00"
1.1 Ordenamento territorial do Arco do Desmatamento e BR 163,1.1.5 Elaboração de Planos Diretores Municipais,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,OGU,1136 - FORTALECIMENTO DA GESTÃO URBANA,0588 - APOIO À GESTÃO METROPOLITANA E AO CONSORCIAMENTO MUNICIPAL PARA O DESENVOLVIMENTO URBANO ,"R$ 900,000.00",R$ 0.00,R$ 0.00,1136 - FORTALECIMENTO DA GESTÃO URBANA,,,,
1.2 Regularização fundiária,,MDA / INCRA,#VALUE!,7,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,INCRA/OGU,,5148 - IMPLANTAÇÃO DO CADASTRO NACIONAL DE IMÓVEIS RURAIS - CNIR,"R$ 285,850.00",R$ 0.00,R$ 0.00,,2105 - GERENCIAMENTO E FISCALIZAÇÃO DO CADASTRO RURAL,"R$ 9,450,000.00","R$ 8,855,143.00","R$ 8,855,143.00"
1.2 Regularização fundiária,1.2.1 Elaborar proposta de destinação de terras públicas,MDA / INCRA,#VALUE!,7,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,INCRA/OGU,,4426 - GEORREFERENCIAMENTO DE IMÓVEIS RURAIS,"R$ 34,796,877.00","R$ 33,581,974.00","R$ 33,574,831.00",,4426 - GEORREFERENCIAMENTO DA MALHA FUNDIÁRIA NACIONAL,"R$ 45,310,601.00","R$ 41,297,554.00","R$ 41,297,554.00"
