Tipo,Objetivo Estratégico,AÇÕES ESTRATÉGICAS,Sub-atividade,RESPONSÁVEL,AGU/PGF,DPF,FN,IBAMA,ICMBio,INPE,MCT,MJ,MMA,SIPAM,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2009,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2010,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2011,AUTORIZADO,EMPENHADO,LIQUIDADO
Ação Estratégica,2.1 - Aprimoramento dos Sistemas de Monitoramento Ambiental,2.1.1 Aprimoramento do Sistema de Detecção do Desmatamento em Tempo Real - DETER,,"INPE, SIPAM, IBAMA",#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,7,"0503 - PREVENÇÃO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCÊNDIOS FLORESTAIS - FLORESCER",2063 - MONITORAMENTO DE QUEIMADAS E PREVENÇÃO DE INCÊNDIOS FLORESTAIS,"R$ 1,200,000.00","R$ 1,199,463.00","R$ 1,199,463.00","0503 - PREVENÇÃO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCÊNDIOS FLORESTAIS - FLORESCER",2063 - MONITORAMENTO DE QUEIMADAS E PREVENÇÃO DE INCÊNDIOS FLORESTAIS,"R$ 1,200,000.00","R$ 1,174,993.00","R$ 1,174,993.00","0503 - PREVENÇÃO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCÊNDIOS FLORESTAIS - FLORESCER",2063 - MONITORAMENTO DE QUEIMADAS E PREVENÇÃO DE INCÊNDIOS FLORESTAIS,"R$ 1,250,000.00","R$ 1,223,897.00","R$ 1,223,897.00"
Ação Estratégica,2.1 - Aprimoramento dos Sistemas de Monitoramento Ambiental,2.1.2 Implementação do monitoramento de Florestas Degradadas - DEGRAD,,"INPE, SIPAM, IBAMA",#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,7,,6329 - CONTROLE DE DESMATAMENTOS E INCÊNDIOS FLORESTAIS,"R$ 24,380,000.00","R$ 23,830,231.00","R$ 23,830,231.00",,6329 - CONTROLE DE DESMATAMENTOS E INCÊNDIOS FLORESTAIS,"R$ 27,073,000.00","R$ 26,469,148.00","R$ 26,469,148.00",,6329 - CONTROLE DE DESMATAMENTOS E INCÊNDIOS FLORESTAIS,"R$ 26,742,996.00","R$ 26,304,417.00","R$ 26,304,417.00"
Ação Estratégica,2.1 - Aprimoramento dos Sistemas de Monitoramento Ambiental,2.1.3 Implementação do monitoramento de Florestas sob Exploração Florestal - DETEX,,"INPE, SIPAM, IBAMA",#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,7,,6074 - PREVENÇÃO E COMBATE A INCÊNDIOS FLORESTAIS E CONTROLE DE QUEIMADAS,"R$ 19,500,000.00","R$ 18,093,611.00","R$ 18,093,611.00",,6074 - PREVENÇÃO E COMBATE A INCÊNDIOS FLORESTAIS E CONTROLE DE QUEIMADAS,"R$ 27,060,000.00","R$ 24,827,333.00","R$ 24,827,333.00",,6074 - PREVENÇÃO E COMBATE A INCÊNDIOS FLORESTAIS E CONTROLE DE QUEIMADAS,"R$ 25,999,232.00","R$ 24,076,774.00","R$ 24,076,774.00"
Ação Estratégica,2.1 - Aprimoramento dos Sistemas de Monitoramento Ambiental,2.1.4 Aprimoramento do monitoramento do Corte Raso - PRODES,,"INPE, SIPAM, IBAMA",#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,7,,,,,,,,,,,,,,,
Ação Estratégica,2.1 - Aprimoramento dos Sistemas de Monitoramento Ambiental,2.1.5 Desenvolvimento de sistema para detecção do desmatamento com imagem de radar orbital (Alos),,"INPE, SIPAM, IBAMA",#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,7,,,,,,,,,,,,,,,
Ação Estratégica,2.1 - Aprimoramento dos Sistemas de Monitoramento Ambiental,"2.1.6 Programa de Monitoramento de Áreas Especiais (TI, UC ESTADUAL, UC FEDERAL)",,"INPE, SIPAM, IBAMA",#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,7,,,,,,,,,,,,,,,
Ação Estratégica,2.1 - Aprimoramento dos Sistemas de Monitoramento Ambiental,2.1.7 Imageamento dos municípios prioritários do Plano,,"INPE, SIPAM, IBAMA",#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,7,,,,,,,,,,,,,,,
Ação Estratégica,2.1 - Aprimoramento dos Sistemas de Monitoramento Ambiental,2.1.8 Programa de Apoio à Gestão Municipal - SIPAMCIDADE,,"INPE, SIPAM, IBAMA",#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,7,,,,,,,,,,,,,,,
Ação Estratégica,2.1 - Aprimoramento dos Sistemas de Monitoramento Ambiental,2.1.9 Integração do SISCOM com os sistemas estaduais,,"INPE, SIPAM, IBAMA",#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,7,,,,,,,,,,,,,,,
Ação Estratégica,2.1 - Aprimoramento dos Sistemas de Monitoramento Ambiental,2.1.10 Definição de áreas prioritárias de vigilância e intervenção,,"INPE, SIPAM, IBAMA",#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,7,,,,,,,,,,,,,,,
