Tipo,OBJETIVO ESTRATÉGICO,Ação Estratégica,RESPONSÁVEL,ICMBIO,MDA,INCRA,MJ,FUNAI,MMA,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2009,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2010,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2011,AUTORIZADO,EMPENHADO,LIQUIDADO
Ação Estratégica,1.1 - Macro Zoneamento da Amazônia Legal Atividades Localização,,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,,7413 - MACROZONEAMENTO ECOLÓGICO-ECONÔMICO DO BRASIL NA ESCALA 1:1.000.000,"R$ 6,181,434.00","R$ 1,212,495.00","R$ 1,212,495.00",,7413 - MACROZONEAMENTO ECOLÓGICO-ECONÔMICO DO BRASIL NA ESCALA 1:1.000.000,"R$ 2,600,658.00","R$ 778,250.00","R$ 778,250.00",,7413 - MACROZONEAMENTO ECOLÓGICO-ECONÔMICO DO BRASIL NA ESCALA 1:1.000.000,"R$ 1,659,112.00","R$ 1,012,479.00","R$ 1,012,479.00"
Ação Estratégica,1.1 - Macro Zoneamento da Amazônia Legal Atividades Localização,,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,0512 - ZONEAMENTO ECOLOGICO-ECONOMICO,7965 - IMPLANTAÇÃO DO SISTEMA GERENCIADOR DE BANCO DE DADOS SOBRE ZONEAMENTO ECOLÓGICO-ECONÔMICO,"R$ 970,000.00","R$ 185,227.00","R$ 185,227.00",0512 - ZONEAMENTO ECOLOGICO-ECONOMICO,7965 - IMPLANTAÇÃO DO SISTEMA GERENCIADOR DE BANCO DE DADOS SOBRE ZONEAMENTO ECOLÓGICO-ECONÔMICO,"R$ 4,700,000.00","R$ 58,240.00","R$ 58,240.00",0512 - ZONEAMENTO ECOLOGICO-ECONOMICO,7965 - IMPLANTAÇÃO DO SISTEMA GERENCIADOR DE BANCO DE DADOS SOBRE ZONEAMENTO ECOLÓGICO-ECONÔMICO,"R$ 920,000.00",R$ 0.00,R$ 0.00
Ação Estratégica,1.1 - Macro Zoneamento da Amazônia Legal Atividades Localização,1.1.1 Apoio à conclusão e implementação dos ZEEs estaduais,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,,8320 - APOIO À GESTÃO AMBIENTAL EM ÁREAS DE VULNERABILIDADE AMBIENTAL,"R$ 300,000.00","R$ 184,180.00","R$ 184,180.00",,8320 - APOIO À GESTÃO AMBIENTAL EM ÁREAS DE VULNERABILIDADE AMBIENTAL,"R$ 1,190,000.00",R$ 0.00,R$ 0.00,,8320 - APOIO À GESTÃO AMBIENTAL EM ÁREAS DE VULNERABILIDADE AMBIENTAL,"R$ 300,000.00","R$ 155,786.00","R$ 155,786.00"
Ação Estratégica,1.1 - Macro Zoneamento da Amazônia Legal Atividades Localização,1.1.2 Integração do ZEEs estaduais no Macro Zoneamento da Amazônia Legal,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,,8689 - ZONEAMENTO ECOLÓGICO-ECONÔMICO ESTADUAL NA ESCALA 1:250.000,"R$ 1,213,142.00","R$ 919,213.00","R$ 919,213.00",,8689 - ZONEAMENTO ECOLÓGICO-ECONÔMICO ESTADUAL NA ESCALA 1:250.000,"R$ 953,142.00","R$ 672,297.00","R$ 672,297.00",,8689 - ZONEAMENTO ECOLÓGICO-ECONÔMICO ESTADUAL NA ESCALA 1:250.000,"R$ 1,382,290.00",R$ 0.00,R$ 0.00
Ação Estratégica,1.2 - Regularização Fundiária de Posses Rurais na Amazônia Legal,,MDA/INCRA,#VALUE!,1,5,#VALUE!,#VALUE!,#VALUE!,0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,0574 - APOIO AOS ESTADOS PARA IMPLANTAÇÃO DO CADASTRO DE TERRAS E REGULARIZAÇÃO FUNDIÁRIA NO BRASIL,"R$ 12,643,000.00","R$ 10,284,444.00","R$ 10,284,444.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,0574 - APOIO AOS ESTADOS PARA IMPLANTAÇÃO DO CADASTRO DE TERRAS E REGULARIZAÇÃO FUNDIÁRIA NO BRASIL,"R$ 12,000,000.00","R$ 4,084,661.00","R$ 4,084,661.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,0574 - APOIO AOS ESTADOS PARA IMPLANTAÇÃO DO CADASTRO DE TERRAS E REGULARIZAÇÃO FUNDIÁRIA NO BRASIL,"R$ 13,027,554.00","R$ 12,555,923.00","R$ 12,555,923.00"
Ação Estratégica,1.2 - Regularização Fundiária de Posses Rurais na Amazônia Legal,1.2.1 Gerenciamento e Fiscalização do Cadastro Rural,MDA/INCRA,#VALUE!,1,5,#VALUE!,#VALUE!,#VALUE!,0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,2105 - GERENCIAMENTO E FISCALIZAÇÃO DO CADASTRO RURAL,"R$ 7,500,000.00","R$ 4,530,331.00","R$ 4,530,331.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,2105 - GERENCIAMENTO E FISCALIZAÇÃO DO CADASTRO RURAL,"R$ 12,000,000.00","R$ 5,530,764.00","R$ 5,530,764.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,2105 - GERENCIAMENTO E FISCALIZAÇÃO DO CADASTRO RURAL,"R$ 12,000,000.00","R$ 3,230,866.00","R$ 3,230,866.00"
Ação Estratégica,1.2 - Regularização Fundiária de Posses Rurais na Amazônia Legal,1.2.1 Gerenciamento e Fiscalização do Cadastro Rural,MDA/INCRA,#VALUE!,1,5,#VALUE!,#VALUE!,#VALUE!,0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,"2110 - REGULARIZAÇÃO FUNDIÁRIA DE IMÓVEIS
RURAIS","R$ 102,632,378.00","R$ 20,697,376.00","R$ 20,697,376.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,"2110 - REGULARIZAÇÃO FUNDIÁRIA DE IMÓVEIS
RURAIS","R$ 26,436,257.00","R$ 12,619,547.00","R$ 12,619,547.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,"2110 - REGULARIZAÇÃO FUNDIÁRIA DE IMÓVEIS
RURAIS",R$ 0.00,R$ 0.00,R$ 0.00
Ação Estratégica,1.2 - Regularização Fundiária de Posses Rurais na Amazônia Legal,1.2.1 Gerenciamento e Fiscalização do Cadastro Rural,MDA/INCRA,#VALUE!,1,5,#VALUE!,#VALUE!,#VALUE!,0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,2114 - SISTEMA DE CADASTRO RURAL,"R$ 9,500,000.00","R$ 8,000,000.00","R$ 8,000,000.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,2114 - SISTEMA DE CADASTRO RURAL,"R$ 15,500,000.00","R$ 10,640,793.00","R$ 10,640,793.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,2114 - SISTEMA DE CADASTRO RURAL,"R$ 10,000,000.00","R$ 8,664,106.00","R$ 8,664,106.00"
Ação Estratégica,1.2 - Regularização Fundiária de Posses Rurais na Amazônia Legal,1.2.2 Georreferenciamento da Malha Fundiária para Amazônia Legal,MDA/INCRA,#VALUE!,1,5,#VALUE!,#VALUE!,#VALUE!,0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,4426 - GEORREFERENCIAMENTO DA MALHA FUNDIÁRIA NACIONAL,"R$ 70,000,000.00","R$ 51,131,329.00","R$ 51,131,329.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,4426 - GEORREFERENCIAMENTO DA MALHA FUNDIÁRIA NACIONAL,"R$ 127,613,218.00","R$ 122,363,128.00","R$ 122,363,128.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,4426 - GEORREFERENCIAMENTO DA MALHA FUNDIÁRIA NACIONAL,"R$ 88,632,555.00","R$ 77,977,279.00","R$ 77,977,279.00"
Ação Estratégica,1.2 - Regularização Fundiária de Posses Rurais na Amazônia Legal,1.2.3 Destinação para os ocupantes de terras públicas,MDA/INCRA,#VALUE!,1,5,#VALUE!,#VALUE!,#VALUE!,0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,8378 - AÇÕES PREPARATÓRIAS PARA DESTINAÇÃO DE TERRAS PÚBLICAS,"R$ 8,000,000.00","R$ 4,959,417.00","R$ 4,959,417.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,8378 - AÇÕES PREPARATÓRIAS PARA DESTINAÇÃO DE TERRAS PÚBLICAS,"R$ 20,000,000.00","R$ 6,160,717.00","R$ 6,160,717.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,8378 - AÇÕES PREPARATÓRIAS PARA DESTINAÇÃO DE TERRAS PÚBLICAS,"R$ 17,515,036.00","R$ 915,850.00","R$ 915,850.00"
