Objetivo Estratégico,Atividade,Órgão Responsável no PPCDAm,Programa no PPA 2012-2015,Objetivo,Iniciativa,Ação / Unidade Orçamentária,Valor Autorizado (2014),Valor Empenhado (2014),Valor Liquidado (2014),Restos a Pagar Pago (2014),Valor Autorizado (2013),Valor Empenhado (2013),Valor Liquidado (2013),Restos a Pagar Pago* (2013),Valor Autorizado (2012),Valor Empenhado (2012),Valor Liquidado (2012),Restos a Pagar Pago* (2012)
1. Tornar mais célere o licenciamento dos Planos de Manejo Florestal e as concessões Florestai,1.3 Apoiar os estados na implementação de medidas para o avanço dos PMFS e Concessões Florestais estaduais,SBF,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios","0469- Promover o manejo florestal sustentável, de uso múltiplo, com enfoque comunitário e familiar, visando conciliar a manutenção e uso das florestas e a integração com demais sistemas produtivos, ampliando a oferta de produtos florestais e gerando renda.","01IU- Estabelecimento, simplificação e adequação dos marcos regulatórios territoriais e ambientais relacionados ao manejo florestal sustentável comunitário e familiar",8294- Estruturação dos órgãos do sistema nacional de meio ambiente para a gestão florestal compartilhada,"R$ 3.200.000,00","R$ 2.802.726,00","R$ 2.064.116,00","R$ 595.771,00","R$ 1.800.000,00","R$ 1.793.121,00","R$ 1.132.557,00",,"R$ 3.555.055,00","R$ 2.111.903,00","R$ 1.912.306,00","R$ 0,00"
1. Tornar mais célere o licenciamento dos Planos de Manejo Florestal e as concessões Florestai,1.3 Apoiar os estados na implementação de medidas para o avanço dos PMFS e Concessões Florestais estaduais,SBF,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios",,,8296- Autorização e controle das atividades florestais,"R$ 1.594.000,00","R$ 1.247.443,00","R$ 1.239.648,00","R$ 0,00","R$ 1.700.000,00","R$ 1.491.449,00","R$ 1.288.413,00",,"R$ 2.099.999,00","R$ 1.961.148,00","R$ 1.809.610,00","R$ 0,00"
2. Aumentar a eficácia da fiscalização e do controle do desmatamento,2.2. Elaborar planos de proteção para UCs de áreas prioritárias,ICMBio,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios","0475- Promover a queda contínua do desmatamento ilegal, com ênfase na fiscalização ambiental e na articulação entre os entes federados.",01KD- Aperfeiçoamento das atividades de fiscalização e combate ao desmatamento,6074- Prevenção e combate a incênndios florestais e controle de queimadas,"R$ 42.847.710,00","R$ 25.195.192,00","R$ 24.851.284,00","R$ 256.850,00","R$ 21.500.000,00","R$ 17.418.306,00","R$ 16.941.510,00",,"R$ 22.666.667,00","R$ 20.796.628,00","R$ 20.631.813,00","R$ 0,00"
2. Aumentar a eficácia da fiscalização e do controle do desmatamento,2.3 Intensificar as ações de fiscalização em UC's de áreas prioritárias,ICMBio,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios","0475- Promover a queda contínua do desmatamento ilegal, com ênfase na fiscalização ambiental e na articulação entre os entes federados.","01KG- Criação de mecanismos que facilitem a apreensão, decretação de perdimento e destinação de bens, instrumentos ou produtos decorrentes da prática de crimes e infrações ambientais",6307- Fiscalização de atividades de desmatamento,"R$ 65.906.000,00","R$ 64.537.490,00","R$ 57.925.882,00","R$ 2.303.754,00","R$ 51.900.000,00","R$ 37.100.596,00","R$ 31.240.608,00",,"R$ 103.453.333,00","R$ 43.938.732,00","R$ 39.675.763,00","R$ 0,00"
2. Aumentar a eficácia da fiscalização e do controle do desmatamento,2.3 Intensificar as ações de fiscalização em UC's de áreas prioritárias,ICMBio,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios","0475- Promover a queda contínua do desmatamento ilegal, com ênfase na fiscalização ambiental e na articulação entre os entes federados.",,,,,,,,,,,,,,
2. Aumentar a eficácia da fiscalização e do controle do desmatamento,2.4 Realizar treinamento específico em fiscalização,ICMBio,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios","0475- Promover a queda contínua do desmatamento ilegal, com ênfase na fiscalização ambiental e na articulação entre os entes federados.","01KK- Formulação, implementação, monitoramento e avaliação de planos e estratégias de prevenção e controle do desmatamento de forma integrada entre os órgãos federais, Estados e Municípios",20MY- Prevenção e combate a incêndios florestais e emergências ambientais em Unidades de Conservação Federais,"R$ 21.000.000,00","R$ 21.000.000,00","R$ 19.069.110,00","R$ 4.215.573,00","R$ 28.851.000,00","R$ 28.738.747,00","R$ 23.404.361,00",,"R$ 28.000.000,00","R$ 27.678.550,00","R$ 24.739.658,00","R$ 0,00"
2. Aumentar a eficácia da fiscalização e do controle do desmatamento,2.4 Realizar treinamento específico em fiscalização,ICMBio,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios","0475- Promover a queda contínua do desmatamento ilegal, com ênfase na fiscalização ambiental e na articulação entre os entes federados.",,20MY- Prevenção e combate a incêndios florestais e emergências ambientais em Unidades de Conservação Federais,,,,,,,,,,,,
2. Aumentar a eficácia da fiscalização e do controle do desmatamento,2.4 Realizar treinamento específico em fiscalização,ICMBio,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios","0475- Promover a queda contínua do desmatamento ilegal, com ênfase na fiscalização ambiental e na articulação entre os entes federados.",01KN- Instituição por decreto e ampliação das atribuições da Comissão Interministerial de Combate a Crimes e Infrações Ambientais (CICCIA),20MY- Prevenção e combate a incêndios florestais e emergências ambientais em Unidades de Conservação Federais,,,,,,,,,,,,
2. Aumentar a eficácia da fiscalização e do controle do desmatamento,2.5 Elaborar e executar os planos de Proteção para as TI localizadas nas áreas de influência de grandes obras de infraestrutura (No âmbito do componente indígena do Licenciamento),FUNAI,2065- Proteção e Promoção dos Direitos dos Povos Indígenas,"0945- Implantar e desenvolver política nacional de gestão ambiental e territorial de terras indígenas, por meio de estratégias integradas e participativas com vistas ao desenvolvimento sustentável e à autonomia dos povos indígenas.","0413- Promover a gestão ambiental participativa das terras indígenas, por meio de planos, projetos e estruturação da capacidade de gestão etnoambientais, bem como atuar como interveniente nos processos de licenciamento ambiental de empreendimentos que possuam significativo potencial de impacto sobre as terras e povos indígenas",,,,,,,,,,,,,
2. Aumentar a eficácia da fiscalização e do controle do desmatamento,2.7 Articular ações de proteção de terras indígenas em processo de regularização fundiária,FUNAI,2065- Proteção e Promoção dos Direitos dos Povos Indígenas,"0943- Garantir aos povos indígenas a plena ocupação e gestão de suas terras, a partir da consolidação dos espaços e definição dos limites territoriais, por meio de ações de regularização fundiária, fiscalização e monitoramento das terras indígenas e proteção dos índios isolados, contribuindo para a redução de conflitos e para ampliar a presença do Estado democrático e pluriétnico de direito, especialmente em áreas vulneráveis.","0406- Realizar a delimitação, a demarcação e a regularização fundiária, a fiscalização, a vigilância, o combate e a prevenção de ilícitos, o monitoramento territorial, espacial e ambiental e, a extrusão de não índios das terras indígenas, bem como localizar e proteger povos indígenas isolados e de recente contato","20IB- Fiscalização e demarcação de Terras Indígenas, localização e proteção de índios isolados e de recente contato","R$ 0,00","R$ 0,00","R$ 0,00","R$ 14.062,00","R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 10.445.399,00","R$ 10.072.388,00","R$ 8.011.761,00","R$ 0,00"
2. Aumentar a eficácia da fiscalização e do controle do desmatamento,2.7 Articular ações de proteção de terras indígenas em processo de regularização fundiária,FUNAI,2065- Proteção e Promoção dos Direitos dos Povos Indígenas,"0943- Garantir aos povos indígenas a plena ocupação e gestão de suas terras, a partir da consolidação dos espaços e definição dos limites territoriais, por meio de ações de regularização fundiária, fiscalização e monitoramento das terras indígenas e proteção dos índios isolados, contribuindo para a redução de conflitos e para ampliar a presença do Estado democrático e pluriétnico de direito, especialmente em áreas vulneráveis.",040B- Regulamentar o poder de polícia da FUNAI,,,,,,,,,,,,,
2. Aumentar a eficácia da fiscalização e do controle do desmatamento,2.15 Promover a capacitação de Policiais Rodoviários Federais no Portal de Fiscalização de Produtos de Origem Florestal,Censipam,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios","0475- Promover a queda contínua do desmatamento ilegal, com ênfase na fiscalização ambiental e na articulação entre os entes federados.",01KQ- Policiamento e fiscalização ambiental orientados pelo planejamento estratégico federal de combate ao desmatamento,,,,,,,,,,,,,
