Objetivo Estratégico,Atividade,Órgão Responsável no PPCDAm,Programa no PPA 2012-2015,Objetivo,Iniciativa,Ação / Unidade Orçamentária,Valor Autorizado (2014),Valor Empenhado (2014),Valor Liquidado (2014),Restos a Pagar Pago (2014),Valor Autorizado (2013),Valor Empenhado (2013),Valor Liquidado (2013),Restos a Pagar Pago* (2013),Valor Autorizado (2012),Valor Empenhado (2012),Valor Liquidado (2012),Restos a Pagar Pago* (2012)
1. Promover ordenamento fundiário de terras públicas,Propor a destinação de Florestas Públicas para desenvolvimento florestal por meio de concessão para manejo florestal sustentável,SBF,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios",0471- Expandir e aprimorar a produção florestal sustentável por meio da concessão de florestas públicas federais.,"01J9- Planejamento, gestão e monitoramento das Concessões Florestais","20WC- Planejamento, Gestão e Controle das Concessões Florestais","R$ 5.000.000,00","R$ 4.424.812,00","R$ 3.363.690,00","R$ 540.735,00","R$ 5.600.000,00","R$ 3.803.334,00","R$ 3.257.762,00",,"R$ 53.333,00","R$ 0,00","R$ 0,00","R$ 0,00"
1. Promover ordenamento fundiário de terras públicas,Propor a destinação de Florestas Públicas para desenvolvimento florestal por meio de concessão para manejo florestal sustentável,SBF,"2036- Florestas, Prevenção e Controle do Desmatamento e dos Incêndios",0471- Expandir e aprimorar a produção florestal sustentável por meio da concessão de florestas públicas federais.,"01JB- Regulamentação da cessão de terras públicas da Secretaria do Patrimônio da União para o Serviço Florestal Brasileiro, para fins de concessão florestal, sem a necessidade de criação de unidade de conservação.",10TD- Implantação e gestão do sistema nacional de informações florestais,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 47.516,00","R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 895.500,00","R$ 700.982,00","R$ 460.507,00","R$ 0,00"
1. Promover ordenamento fundiário de terras públicas,Realizar a destinação das terras públicas federais remanescentes que ainda não foram regularizadas pelo Terra Legal e SPU,MDA,2066- Reforma Agrária e Ordenamento da Estrutura Fundiária,"0419- Identificar, discriminar e arrecadar as terras devolutas, destinar as terras públicas e executar a regularização fundiária nas terras federais e nas estaduais, em parceria com os respectivos governos, para a democratização do acesso a terra, com condições simplificadas para imóveis rurais pequenos e médios, bem como para a promoção dos direitos territoriais das populações quilombolas, povos indígenas e outras comunidades
tradicionais, e contribuir para o combate da pobreza no meio rural.","01DY- Ampliação do trabalho de regularização fundiária de áreas rurais da União, sob a jurisdição da Secretaria do Patrimônio da União, prioritariamente nos imóveis ocupados por comunidades tradicionais",210U- Organização da Estrutura Fundiária,"R$ 34.635.463,00","R$ 28.325.495,00","R$ 10.859.141,00","R$ 13.254.861,00","R$ 9.646.000,00","R$ 9.624.831,00","R$ 868.619,00",,"R$ 1.656.667,00","R$ 0,00","R$ 0,00","R$ 0,00"
1. Promover ordenamento fundiário de terras públicas,Realizar a destinação das terras públicas federais remanescentes que ainda não foram regularizadas pelo Terra Legal e SPU,MDA,2066- Reforma Agrária e Ordenamento da Estrutura Fundiária,"0419- Identificar, discriminar e arrecadar as terras devolutas, destinar as terras públicas e executar a regularização fundiária nas terras federais e nas estaduais, em parceria com os respectivos governos, para a democratização do acesso a terra, com condições simplificadas para imóveis rurais pequenos e médios, bem como para a promoção dos direitos territoriais das populações quilombolas, povos indígenas e outras comunidades
tradicionais, e contribuir para o combate da pobreza no meio rural.",01E0- Aperfeiçoamento dos marcos legais sobre regularização de imóveis rurais e urbanos na Amazônia Legal,2105- Gerenciamento e Fiscalização do Cadastro Rural,"R$ 4.500.000,00","R$ 1.975.446,00","R$ 1.582.418,00","R$ 132.477,00","R$ 5.000.000,00","R$ 1.778.007,00","R$ 1.345.696,00",,"R$ 7.500.000,00","R$ 1.504.580,00","R$ 1.367.691,00","R$ 0,00"
1. Promover ordenamento fundiário de terras públicas,Realizar a destinação das terras públicas federais remanescentes que ainda não foram regularizadas pelo Terra Legal e SPU,MDA,2066- Reforma Agrária e Ordenamento da Estrutura Fundiária,"0419- Identificar, discriminar e arrecadar as terras devolutas, destinar as terras públicas e executar a regularização fundiária nas terras federais e nas estaduais, em parceria com os respectivos governos, para a democratização do acesso a terra, com condições simplificadas para imóveis rurais pequenos e médios, bem como para a promoção dos direitos territoriais das populações quilombolas, povos indígenas e outras comunidades
tradicionais, e contribuir para o combate da pobreza no meio rural.","01E7- Gestão das terras públicas federais e apoio à gestão das estaduais, realizando a fiscalização do cumprimento da função social das propriedades rurais, georreferenciamento e certificação de imóveis rurais, regularização
Fundiária e titulação, ratificação de títulos em faixa de fronteira e apoio à legalização de imóveis rurais, modernização do Sistema Nacional de Cadastro Rural (SNCR), implantação do Cadastro Nacional de Imóveis
Rurais (CNIR), ampliação da inserção de dados geográficos ao acervo fundiário do Incra e a sua integração com outras bases geográficas, e promover a massificação do seu acesso","211C- Regularização da Estrutura Fundiária na Área de Abrangência da Lei 11.952, de 2009","R$ 77.700.000,00","R$ 49.134.354,00","R$ 5.151.094,00","R$ 27.351.127,00","R$ 83.225.926,00","R$ 71.998.465,00","R$ 10.756.043,00",,"R$ 666.667,00","R$ 0,00","R$ 0,00","R$ 0,00"
1. Promover ordenamento fundiário de terras públicas,Realizar a destinação das terras públicas federais remanescentes que ainda não foram regularizadas pelo Terra Legal e SPU,MDA,2066- Reforma Agrária e Ordenamento da Estrutura Fundiária,"0419- Identificar, discriminar e arrecadar as terras devolutas, destinar as terras públicas e executar a regularização fundiária nas terras federais e nas estaduais, em parceria com os respectivos governos, para a democratização do acesso a terra, com condições simplificadas para imóveis rurais pequenos e médios, bem como para a promoção dos direitos territoriais das populações quilombolas, povos indígenas e outras comunidades
tradicionais, e contribuir para o combate da pobreza no meio rural.",01E8- Gestão de malha fundiária e destinação de terras públicas nos marcos da Lei 11.952/2009,,,,,,,,,,,,,
1. Promover ordenamento fundiário de terras públicas,Realizar a destinação das terras públicas federais remanescentes que ainda não foram regularizadas pelo Terra Legal e SPU,MDA,2066- Reforma Agrária e Ordenamento da Estrutura Fundiária,"0419- Identificar, discriminar e arrecadar as terras devolutas, destinar as terras públicas e executar a regularização fundiária nas terras federais e nas estaduais, em parceria com os respectivos governos, para a democratização do acesso a terra, com condições simplificadas para imóveis rurais pequenos e médios, bem como para a promoção dos direitos territoriais das populações quilombolas, povos indígenas e outras comunidades
tradicionais, e contribuir para o combate da pobreza no meio rural.","01E9- Identificação de áreas da União, pelo Instituto Nacional de Colonização e Reforma Agrária em parceria com a Secretaria de Patrimônio da União, aptas à regularização fundiária, dando-se prioridade àquelas ocupadas por comunidades tradicionais",,,,,,,,,,,,,
1. Promover ordenamento fundiário de terras públicas,Realizar a destinação das terras públicas federais remanescentes que ainda não foram regularizadas pelo Terra Legal e SPU,MDA,2066- Reforma Agrária e Ordenamento da Estrutura Fundiária,"0419- Identificar, discriminar e arrecadar as terras devolutas, destinar as terras públicas e executar a regularização fundiária nas terras federais e nas estaduais, em parceria com os respectivos governos, para a democratização do acesso a terra, com condições simplificadas para imóveis rurais pequenos e médios, bem como para a promoção dos direitos territoriais das populações quilombolas, povos indígenas e outras comunidades
tradicionais, e contribuir para o combate da pobreza no meio rural.",,,,,,,,,,,,,,
1. Promover ordenamento fundiário de terras públicas,"Identificar e destinar de modo simplificado as áreas da União na Amazônia (prioridade para RESEX, FLONA, PAE, PAF)",MPOG,????,????,????,,,,,,,,,,,,,
1. Promover ordenamento fundiário de terras públicas,Incluir socioterritorialmente os ribeirinhos nas áreas da União na Amazônia e ordenação do uso das orlas fluviais,MPOG,????,????,????,,,,,,,,,,,,,
